"","address","lat","long","addresstype"
"1","Chad",15.6134137,19.0156172,"country"
"2","Chile",-31.7613365,-71.3187697,"country"
"3","China",35.0000663,104.999955,"country"
"4","Colombia",4.099917,-72.9088133,"country"
"5","Congo Brazzaville",-0.7264327,15.6419155,"country"
"6","Congo Kinshasa",-2.9814344,23.8222636,"country"
"7","Costa Rica",10.2735633,-84.0739102,"country"
"8","Cote dIvoire",-26.0988304,28.1172374,"road"
"9","Croatia",45.3658443,15.6575209,"country"
"10","Cruise Ship",17.7139276,-64.8880356,"tourism"
